,latitude,longitude,plant_name,total_cap,plant_types_all,plant_caps_all,plant_type,renewable,state_long
723,39.441979,-98.690296,Osborne,6,"natural_gas,petroleum","1.7,4.3",natural_gas,FALSE,Kansas
724,38.615579,-95.279742,Ottawa,26,natural_gas,26,natural_gas,FALSE,Kansas
725,37.6359,-98.7433,Pratt,14.5,"natural_gas,petroleum","13,1.5",natural_gas,FALSE,Kansas
726,38.893333,-98.856944,Russell Downtown,14.4,"natural_gas,petroleum","9.4,5",natural_gas,FALSE,Kansas
727,39.904922,-95.803367,Sabetha Power Plant,18.7,"natural_gas,petroleum","4.1,14.6",natural_gas,FALSE,Kansas
728,39.7736,-101.8122,St Francis,5.9,petroleum,5.9,petroleum,FALSE,Kansas
729,38.0083,-98.7633,St John,5,petroleum,5,petroleum,FALSE,Kansas
730,38.8917,-101.7481,Sharon Spring,2.9,natural_gas,2.9,natural_gas,FALSE,Kansas
731,37.9553,-98.5928,Stafford,4.2,petroleum,4.2,petroleum,FALSE,Kansas
732,38.2025,-98.1986,Sterling,8.3,petroleum,8.3,petroleum,FALSE,Kansas
733,39.3772,-99.2947,Stockton,5.4,natural_gas,5.4,natural_gas,FALSE,Kansas
734,39.1992,-96.3086,Wamego,11.6,natural_gas,11.6,natural_gas,FALSE,Kansas
735,39.8189,-97.0556,Washington,7.4,petroleum,7.4,petroleum,FALSE,Kansas
736,37.261372,-97.4057,Wellington 1,23.5,"natural_gas,petroleum","19.5,4",natural_gas,FALSE,Kansas
737,37.2354,-97.011,West 14th Street,11.1,natural_gas,11.1,natural_gas,FALSE,Kansas
738,37.9703,-100.8956,Garden City,222,natural_gas,222,natural_gas,FALSE,Kansas
739,38.1707,-82.6176,Big Sandy,1060,coal,1060,coal,FALSE,West Virginia
740,37.7864,-84.7028,Dix Dam,31.5,hydro,31.5,hydro,TRUE,Kentucky
741,37.78831,-84.71257,E W Brown,1496,"coal,natural_gas","684,812",coal,FALSE,Kentucky
742,38.7497,-85.035,Ghent,1932,coal,1932,coal,FALSE,Kentucky
743,37.3636,-87.1214,Green River,163,coal,163,coal,FALSE,Kentucky
744,38.0794,-84.5194,Haefling,24,natural_gas,24,natural_gas,FALSE,Kentucky
745,37.8297,-84.7247,Mother Ann Lee,2.1,hydro,2.1,hydro,TRUE,Kentucky
746,38.1831,-85.8892,Cane Run,577,"coal,natural_gas","563,14",coal,FALSE,Kentucky
747,38.0525,-85.9103,Mill Creek,1472,coal,1472,coal,FALSE,Kentucky
748,38.2832,-85.7792,Ohio Falls,56,hydro,56,hydro,TRUE,Kentucky
749,38.223592,-85.841704,Paddys Run,182,natural_gas,182,natural_gas,FALSE,Kentucky
750,38.280278,-85.702331,Zorn,14,natural_gas,14,natural_gas,FALSE,Kentucky
751,37.0217,-88.2211,Barkley,148,hydro,148,hydro,TRUE,Kentucky
752,37.7942,-87.0608,Elmer Smith,398.7,coal,398.7,coal,FALSE,Kentucky
753,38.2049,-84.2383,Paris,11.9,petroleum,11.9,petroleum,FALSE,Kentucky
754,37.0131,-88.2692,Kentucky Dam,222.5,hydro,222.5,hydro,TRUE,Kentucky
755,37.2608,-86.9783,Paradise,2201,coal,2201,coal,FALSE,Kentucky
756,37.1517,-88.775,Shawnee,1330,coal,1330,coal,FALSE,Kentucky
757,36.8691,-85.147,Wolf Creek,312,hydro,312,hydro,TRUE,Kentucky
758,37.9631,-86.7911,Kenneth C Coleman,443,coal,443,coal,FALSE,Kentucky
759,37.6469,-87.5028,HMP&L Station Two Henderson,312,coal,312,coal,FALSE,Kentucky
760,37.6461,-87.5019,Robert A Reid,123,"coal,petroleum","65,58",coal,FALSE,Kentucky
761,36.9981,-84.5919,Cooper,341,coal,341,coal,FALSE,Kentucky
762,37.8806,-84.2619,Dale,195,coal,195,coal,FALSE,Kentucky
763,30.4922,-91.1864,Louisiana 1,382.4,natural_gas,382.4,natural_gas,FALSE,Louisiana
764,30.4922,-91.1864,Louisiana 2,138,natural_gas,138,natural_gas,FALSE,Louisiana
765,30.2844,-93.2911,R S Nelson,1309,"coal,natural_gas,petroleum","540,556,213",coal,FALSE,Louisiana
766,30.2743,-91.1164,Willow Glen,1752,natural_gas,1752,natural_gas,FALSE,Louisiana
767,30.8439,-92.261111,Coughlin Power Station,732,natural_gas,732,natural_gas,FALSE,Louisiana
768,29.822222,-91.5425,Teche,380,natural_gas,380,natural_gas,FALSE,Louisiana
769,29.359145,-89.537264,Buras,12,natural_gas,12,natural_gas,FALSE,Louisiana
770,30.005067,-90.461694,Little Gypsy,1169.3,natural_gas,1169.3,natural_gas,FALSE,Louisiana
771,29.9472,-90.1458,Nine Mile Point,1519.2,natural_gas,1519.2,natural_gas,FALSE,Louisiana
772,32.7047,-92.0792,Sterlington,174,natural_gas,174,natural_gas,FALSE,Louisiana
773,30.0081,-89.9372,Michoud,781.2,natural_gas,781.2,natural_gas,FALSE,Louisiana
774,32.5181,-93.7611,Arsenal Hill,116,natural_gas,116,natural_gas,FALSE,Louisiana
775,32.7047,-93.9597,Lieberman,268,natural_gas,268,natural_gas,FALSE,Louisiana
776,29.822222,-91.5425,Franklin,8,natural_gas,8,natural_gas,FALSE,Louisiana
777,29.5806,-90.7225,Houma,72.1,natural_gas,72.1,natural_gas,FALSE,Louisiana
778,30.238038,-92.046264,Louis Doc Bonin,256,natural_gas,256,natural_gas,FALSE,Louisiana
779,32.604639,-93.294355,Minden,33.9,"natural_gas,petroleum","25,8.9",natural_gas,FALSE,Louisiana
780,29.691436,-91.188492,Morgan City,51,natural_gas,51,natural_gas,FALSE,Louisiana
781,30.726111,-91.368333,New Roads,7,natural_gas,7,natural_gas,FALSE,Louisiana
782,30.273333,-91.2567,Plaquemine,37.9,natural_gas,37.9,natural_gas,FALSE,Louisiana
783,30.2044,-92.2486,Rayne,7,petroleum,7,petroleum,FALSE,Louisiana
784,30.6739,-91.3556,Big Cajun 1,430,natural_gas,430,natural_gas,FALSE,Louisiana
785,44.3817,-68.2869,Bar Harbor,8,petroleum,8,petroleum,FALSE,Maine
786,44.9136,-67.0033,Eastport,3.4,petroleum,3.4,petroleum,FALSE,Maine
787,44.5442,-68.4306,Ellsworth Hydro Station,9.3,hydro,9.3,hydro,TRUE,Maine
788,45.2386,-68.6572,Howland Hydro Station,1.8,hydro,1.8,hydro,TRUE,Maine
789,45.6078,-68.5444,Medway,8,petroleum,8,petroleum,FALSE,Maine
790,44.942064,-68.64504,Milford Hydro Station,7.8,hydro,7.8,hydro,TRUE,Maine
791,44.9094,-68.6833,Stillwater Hydro Station,2.1,hydro,2.1,hydro,TRUE,Maine
792,44.135332,-70.201499,Androscoggin 3,3.4,hydro,3.4,hydro,TRUE,Maine
793,43.6136,-70.5525,Bar Mills,4,hydro,4,hydro,TRUE,Maine
794,43.687688,-70.611553,Bonny Eagle,9,hydro,9,hydro,TRUE,Maine
795,43.920486,-69.967819,Brunswick,20,hydro,20,hydro,TRUE,Maine
796,43.6436,-70.2544,Cape Gas Turbine,32,petroleum,32,petroleum,FALSE,Maine
797,43.4956,-70.4472,Cataract,8,hydro,8,hydro,TRUE,Maine
798,44.092001,-70.221923,Continental Mills,1.4,hydro,1.4,hydro,TRUE,Maine
799,44.134572,-70.203715,Deer Rips,6.2,hydro,6.2,hydro,TRUE,Maine
800,44.152854,-70.209378,Gulf Island,23.2,hydro,23.2,hydro,TRUE,Maine
801,45.4592,-69.8658,Harris,87.4,hydro,87.4,hydro,TRUE,Maine
802,43.8525,-70.7969,Hiram,11.6,hydro,11.6,hydro,TRUE,Maine
803,44.548544,-69.710404,Messalonskee 2 (Oakland),2.8,hydro,2.8,hydro,TRUE,Maine
804,44.569872,-69.681841,Messalonskee 3,1.6,hydro,1.6,hydro,TRUE,Maine
805,44.534397,-69.652232,Messalonskee 5,1.8,hydro,1.8,hydro,TRUE,Maine
806,43.802517,-70.44992,North Gorham,2,hydro,2,hydro,TRUE,Maine
807,44.629517,-69.583527,Shawmut,9.2,hydro,9.2,hydro,TRUE,Maine
808,43.5708,-70.5583,Skelton,19.8,hydro,19.8,hydro,TRUE,Maine
809,43.7508,-70.1567,William F Wyman,821.6,petroleum,821.6,petroleum,FALSE,Unknown
810,43.66687,-70.602125,West Buxton,7.7,hydro,7.7,hydro,TRUE,Maine
811,44.763875,-69.71828,Weston,13.2,hydro,13.2,hydro,TRUE,Maine
812,44.9589,-69.8703,Williams,14.9,hydro,14.9,hydro,TRUE,Maine
813,45.0703,-69.9064,Wyman Hydro,83,hydro,83,hydro,TRUE,Maine
814,46.848,-68.0026,Caribou Generation Station,30.8,"petroleum,hydro","30,0.8",petroleum,FALSE,Maine
815,46.71,-67.9556,Flos Inn Diesel,4.2,petroleum,4.2,petroleum,FALSE,Maine
816,46.556477,-68.325538,Squa Pan Hydro Station,1.4,hydro,1.4,hydro,TRUE,Maine
817,39.323604,-76.365119,C P Crane,399,"coal,petroleum","385,14",coal,FALSE,Maryland
818,39.2663,-76.6047,Gould Street,97,natural_gas,97,natural_gas,FALSE,Maryland
819,39.1781,-76.5268,Herbert A Wagner,975.9,"coal,natural_gas,petroleum","440,126,409.90",coal,FALSE,Maryland
820,39.4217,-76.5087,Notch Cliff,116.7,natural_gas,116.7,natural_gas,FALSE,Maryland
821,39.442836,-76.221761,Perryman,353.6,"natural_gas,petroleum","147.6,206",natural_gas,FALSE,Maryland
822,39.2986,-76.5636,Philadelphia,60.9,petroleum,60.9,petroleum,FALSE,Maryland
823,39.2369,-76.5133,Riverside,113,"natural_gas,petroleum","74,39",natural_gas,FALSE,Maryland
824,39.2719,-76.6186,Westport,115.8,natural_gas,115.8,natural_gas,FALSE,Maryland
825,37.9833,-75.8333,Crisfield,10.4,petroleum,10.4,petroleum,FALSE,Maryland
826,38.4878,-75.8208,Vienna Operations,168.9,petroleum,168.9,petroleum,FALSE,Maryland
827,39.523,-79.413,Deep Creek,18,hydro,18,hydro,TRUE,Maryland
828,38.5444,-76.6861,Chalk Point LLC,2248,"coal,petroleum","6,671,581",coal,FALSE,Maryland
829,39.2097,-77.4644,Dickerson,849,"coal,natural_gas,petroleum","537,294,18",coal,FALSE,Maryland
830,38.3592,-76.9767,Morgantown Generating Plant,1423,"coal,petroleum","1,205,218",coal,FALSE,Maryland
831,39.6572,-76.1752,Conowingo,572,hydro,572,hydro,TRUE,Maryland
832,38.7786,-76.0769,Easton,31.9,petroleum,31.9,petroleum,FALSE,Maryland
833,42.2672,-71.3983,Exelon Framingham LLC,31.4,petroleum,31.4,petroleum,FALSE,Massachusetts
834,42.3392,-71.0353,Exelon L Street,16,petroleum,16,petroleum,FALSE,Massachusetts
835,42.3908,-71.0675,Mystic Generating Station,2001.9,"natural_gas,petroleum","1992.8,9.1",natural_gas,FALSE,Massachusetts
836,41.9438,-70.578,Pilgrim Nuclear Power Station,677.3,nuclear,677.3,nuclear,FALSE,Massachusetts
837,42.140028,-71.446441,Exelon Medway LLC,123.8,petroleum,123.8,petroleum,FALSE,Massachusetts
838,42.3633,-71.0792,Kendall Square Station,225.7,"natural_gas,petroleum","208.5,17.2",natural_gas,FALSE,Massachusetts
839,41.4508,-70.5547,Oak Bluffs Diesel Generating Facility,8.4,petroleum,8.4,petroleum,FALSE,Massachusetts
840,41.7694,-70.5097,Canal,1113,petroleum,1113,petroleum,FALSE,Massachusetts
841,42.2086,-72.6014,Boatlock,3.1,hydro,3.1,hydro,TRUE,Massachusetts
842,42.1919,-72.6097,Chemical,1.6,hydro,1.6,hydro,TRUE,Massachusetts
843,42.2119,-72.6036,Hadley Falls,30.3,hydro,30.3,hydro,TRUE,Massachusetts
844,42.2806,-72.6055,Mount Tom,143.6,coal,143.6,coal,FALSE,Massachusetts
